8,7
time1 seed 2929035
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,751,292
0,751,291
0,0,0
time2
0,0,300
0,751,293
0,753,290
0,751,292
0,754,291
1,0,292
1,0,291
0,0,0
time 3
0,0,300
0,0,200
0,0,350
0,0,0
0,0,0
1,0,292
1,0,291
0,0,0
time 4
0,0,300
0,0,200
0,0,350
0,0,260
0,0,310
1,0,292
1,0,291
0,0,292
time 5
0,0,300
0,0,200
0,0,350
0,0,260
0,0,310
1,0,292
1,0,291
0,0,292
time 6
0,0,300
0,0,200
0,0,350
0,0,260
0,0,310
1,0,292
1,0,291
0,0,292
time 7
0,0,300
0,0,200
0,0,350
0,0,260
0,0,310
1,0,292
1,0,291
0,0,292
